new_comments,classification
polite honestly even say he s call whatever fuck want call call hypocrisy plain stupidity would not say question one opinion inherently evil rude can not really say anymore take quite literally collectively people iq rd grader see scared black dude basically say would not touch conversation foot pole literally do not like bruce hell real problem ill play delusion man do not like you_xd _ absolutely wild,1.0
trans woman use genetic justify woman_xd _ xy chromosome make biological man,1.0
pathetic presenter ball male male female female,1.0
moment get confuse two hate course shapiro,1.0
judgment god long await commonly reject absolutely certain terribly severe,0.0
whole panel wake coward stroke other delusion,1.0
mainstreame delusion deeply religious wear yarmulke,1.0
man ladylike,1.0
jenner woman keep penis testikle,1.0
true delusion fine shoutout ben,1.0
zoey tur weird ass last nameby way language tur mean poison,1.0
well be not lady like,1.0
even today sad still put circus freak,1.0
prabhup_x_da bodily structure change perhaps know medical science change womans body man body man body woman body formerly also change bh_x_gavata find gardeni forget namein garden lord iva engage um_x _ husband wife sudden many saintly person enter see lord iva time um_x _ p_x_rvat become much ashamed properly dress immediately saintly person leave lord iva private affairs lord iva please p_x_rvat immediately say hence forward anyone enter forest become woman one king forget name party without knowledge enter forest become woman idea mans body transform womans body woman body transform man body body dress suppose get dress mans dress transform woman dress sari mean woman every one us living entity part parcel supreme lord outward dress man woman dress v_x_s_x__x_si jr_x_ni yath_x _ vih_x_ya bg change dress,0.0
sadly world evil ignorance strong righteousness reason,0.0
go home ambulence really ok say transgender brave thing respect every person transgender person nice good logical yet say brave thing,0.0
touch one time kick ball would adequate answer,1.0
be not lady like,1.0
get dick chick,1.0
ambulance threat hilarious,0.0
dumbahh,1.0
ladylike sir,1.0
zoey get riled threaten ben still hilarious,0.0
man period,0.0
mother man baby,1.0
lol dr draw compose _ xd _,0.0
act like man would pushed masculinity ben prove man,0.0
ladylike,1.0
kick jenner ball watch female really feel,1.0
cut go home ambulance lady like still would take look tough,1.0
go hospital ambulance go home uber,0.0
zoe bloke view concern bruce validate position proxy,0.0
see bro purple dress,0.0
anyone link full ep can not find,0.0
full debat,0.0
ben know say way would egregiously insult zoe_xd _ hell get people,1.0
klinfelter syndrome turner syndrome etc genetic disorder relate problem lol old dude wear skirt lipstick need read book genetic disorder,1.0
oh ben rude least threaten physical violence like child,0.0
ben win,0.0
absolute w,0.0
cares shapiro christine jorgenson come world come end,1.0
already scietifically research prove transgender people develop brain certain gender uterus despite chromosome opposite sex brain core literally transgender say find theat zoey absolutely disgusting pathetic keep composure situation like fucking bar,1.0
ben wdv say put hand assault keep hand,1.0
fan benny put hand someone make threat crime,0.0
laugh say,0.0
dude need quit threaten people,0.0
rude ok threaten bodily harm people bad debate resort namecalling threat,1.0
mean ben point boot licker there s gender male female get birth get can not change female like guy like female call female male give birth like female till male female,1.0
caitlin jenner act bad bad get deck campaign body guard scared stop would jump flung fist fast hard brutally hesheit would change tune faaaaaaaast,1.0
ben goat,0.0
bob zur confirm ben point threat,0.0
right ungly,1.0
kaitlyn ball threaten ben way,1.0
ben shapiro really loves own public,1.0
jenna start crap along medium year come lot answer,1.0
interesting excuse threat violence cosplaye woman normal man would escort build security rightfully,0.0
trans ben suppose secretly invert one,1.0
look size woman hand damn son,1.0
never hear woman say honestly woman really accept person woman put threat like know gay people wants call swear can not see male everyone would consider woman act like woman still say man feel comfortable call love spread love respect woman feel womanhood love motherhood behaviour violent tendency sweet timid reaction cute smile talk stuff love obviously opinion really fan people shove face gay transgender make vision personality woman sweet cute anything cute tell someone shut get beat,1.0
hope drag queen would kick ass,1.0
do not go home ambulance,0.0
bruce jenner look like demented sexual pervert mother dress,1.0
man threaten nobody care,0.0
lmfao remind quagmire dad,0.0
ben shapiro fact do not care feeling israel ethnically clean ben waaaaah,0.0
caitlin show real macho do not ill bite,1.0
know ben shapiro feel criticism israel could show hypocrisy,0.0
extreme lack brain cell within panel wow,1.0
think pick ben body slamming trigger absolutely hysterical would make show ten time well,0.0
funny get mad violent threat come almost like lipstick change anything still man violent tendency dress,1.0
ben right,0.0
bruce say regret try woman,0.0
weird,0.0
people like lie fcking dude use dress pretend,1.0
agree educate,0.0
physician scientist mdphd would like make clear employ word gender_xd _ natural science social concept although may learn xx woman xy male biology like math foundational many concept simplify primary secondary educational setting scientific community robust debate terminology arrive consensus base current body knowledge xx xy concept biological development consider incorrect scientific literature science first distinguish people capable develop primary puberty secondary puberty sexual characteristic four genotype give rise female primary sexual characteristic xx xo xxx xy rare case two genotype however give rise primary secondary characteristic fertility xx xxx interesting note fetus develop primary female characteristic unless presence one gene chromosome present functional scientific community first define female anyone without functional sry gene male viable fetus function sry whose genotype may xy xxy oy viable point complicated issue treat much differently natural science please refrain invoke biology science anything relate tran debate purely social issue scientific one,0.0
let we ignore chrome minutehuh,0.0
world end dingly dangly bit male moneybox female discussion,1.0
pathetic little ben get deserve uneducated ignorant bigoted racist go screw around find little ben pathetic excuse man,1.0
wow know lose argument speak poppycock resort violence,1.0
must delete word sir video audible,0.0
hey mr pretend transgender man let ask male canine feel urge female canine pawrent mutilate doggie bit,1.0
shapiro right still man play delusion,1.0
ben shapipoo hate trans people want die literally fascist jee fascist,1.0
take courage actually stand ground public hostility common sense,0.0
people fr,0.0
man man woman woman man can not woman woman can not man get,1.0
love zoey lol,0.0
everyone right struggling want cock frock still cockerel _ x _,1.0
trans jack,1.0
kno head basically say might feel dress like girl still man fuhk,1.0
zoey man,0.0
react like man lol,1.0
fact insult world twist,0.0
nobody tell zoey remove hand ben shoulder simply put hand another person shoulder sign dominance usually male thing,1.0
would welcome challenge direct treat,0.0
threat like flirt community ben closet probably go home together,1.0
ben retaliate,1.0
typical leftist can not win debate call name threaten violence,1.0
ben would go home ambulance dude large man,1.0
ben shapiro rule,0.0
carrot cake see carrot cake see create carrot cake someone call lemon cake suppose go along fuck lemon cake,1.0
could not stand mike segment defend huge dude dress get physical tiny ben shapiro,1.0
ben well girl man,1.0
think funny ben think could say whatever want lady man punke conservative shapiro lil bitch,1.0
delusional,1.0
jenner bully male anger,1.0
host gang benthat zoe violent man dress,1.0
know michael bolton come,0.0
trans gaslighting want lol,1.0
creature literally make treat ben send hospital nobody go like ok ok let we polite please bunch bigot,1.0
man year later happend candace owen prophesy love jesus israel kill palestinian people non stop wish person kick little ratty shapiro ass,1.0
moment put hand neck like threaten would day turn woman,1.0
definition bully,1.0
can not believe insane people day never eveeeerrrr think would conversation,1.0
behalf man shapiro end hospital declare day national holiday,1.0
bro malde,1.0
manhandle shapiro guy,0.0
fucking debate jesus christ disagree fine threaten someone,1.0
oh lordplease forgive gylord,1.0
zoey remind quagmire dad family guy,1.0
whole room full people except ben afraid people might think depend say sicken,1.0
that s fucking man course team ben that s crazy,1.0
cut go home ambulance,0.0
oh irony man act like woman live ben c uck,1.0
chris beck detransitione live man lol hate everyone ever support delusion,1.0
someone say cat would support lie,1.0
come everyone get quiet advocate person threaten hypocrisy,0.0
yiu sir,0.0
sorry tran woman woman,1.0
benshapiro man other dickless fucker,1.0
guy guy girlz girl really argue society call,1.0
expect late season reacher take turn,0.0
oh god brain issue start eight year ago us holy hell lose,1.0
dude get charge know,0.0
start going pear shape,0.0
crazy insane even fn debate world burn folk see societys flame get rampant,0.0
man courageous ahha,0.0
caitlyn come back stop go home ambulance tough guy,0.0
violence hand squezing neck direct threat beat sue guy,0.0
one kind thing caitlyn tell truth go heal way,1.0
ben say threat sound way manly woman,1.0
lady look like wwe character lmao,1.0
always find funny everyone step ben use apparently incorrect pro noun one say anything threaten physical violence,0.0
remind robin williams mrs doubtfire lmao,0.0
find full debate hilarious,1.0
black dude straight bih grow man put dress thinking he s woman lose society,1.0
man try hard,0.0
like try mute ben right could prove wrong try mute falsely cause bein rude offensive work try intimidation conversation discussion ben,0.0
love immediately resort back physical threat violence know male trait,1.0
caitlan threaten like tetesterone drive angry male woman would threaten like,1.0
funny respond like man speech write speak pronoun none stuff would relevant wait matter still irrelevant,1.0
el hombre es hombre produce esperma la mujer es mujer produce ovulo hay mas genero,1.0
everybody except ben end look like total douche bag,1.0
ben shapiro solid moment,0.0
damn year ago shapiro still uneducated dumbass,1.0
trans people enabler live unicorn fantasy world,1.0
never twain shall meet,1.0
w ben,0.0
chromosome tell foot inch tall much feel,0.0
moment prove pair ball,1.0
lilholme please note person never grab anyone persona also spell,1.0
horribly difficult horribly ignorant dumb inexplicably stupid,1.0
go home ambulance dirty transvestite threaten somebody national television chicken little nothing even admonish sick world live,1.0
ambulance take hospital home maybe stupidity understand man,1.0
common sense today time,1.0
former navy seal finally realize quack phycologist convince trans back man,1.0
exactly leftie doviolence discussion,1.0
year trope transgender passive mostly non violent time rethink,0.0
much little unpack,0.0
ben one right state mind,0.0
comment,0.0
face lol,0.0
shame everyone go along delusion,0.0
dude threaten ben like,0.0
man always problem gay I m play pretend game,1.0
ben alpha everyone else beta,0.0
whata fkn mess ben sane one whatever show,1.0
pc principal would refer jenner brave woman _ xd__xf _,0.0
thing,0.0
man send another man home ambulance,1.0
ben get courage award would terrified sitting room six crazy people debate,1.0
autogynephilia,1.0
moment ben noahide sycophant drop soap,1.0
would tell get hand touch,0.0
fact care feeling,0.0
man woman,1.0
man woman,1.0
ben say nice threat get hand draw back stump,0.0
bunch idiot gehh,1.0
zoey bully,1.0
always remember liberalism mental disorder,1.0
man ben non ai,1.0
man finish end can not change genetic people go ben_xd _,1.0
clown world crazy world man wtf,1.0
woman feel like woman interested man,0.0
well use like dr draw even call bruce jenner afraid cancel sell soul leave,1.0
yeah tough guy would say sht stone cold steve austin instance say connor mcgregor get tough whatever ben shapiro coward,1.0
tell ben know talk rude respond kind,0.0
damn great america,1.0
guy prove call sir hilarious,1.0
read dueteronomy call holy bible detestable sin repent perish lake fire forever,0.0
side side shapiro talk fast like chipmunk speed trust anyone talk fast aside ball stand buffoon like trump like see get threaten whole gender identity thing fishy think lot whole drag queen story hour drag queen goes kindergarten read fairy tale child firstly tell jack jill hill jack girl jill man take drag queen imagine grow man want spend spare time go kindergarten would say dude pedophile would take kid school,0.0
fact care feeling would think eight year later would rap hit,0.0
little hat,0.0
they re scared people lol,0.0
ambulance do not take home,0.0
hahahahaha ben alien,1.0
care care ehatever deserve prize react manly manner body language manly well,1.0
think ambulance take hospital home,0.0
ben states fact threaten everyone stick zoe problem people endorse issue walk eggshell upset minority,0.0
man come transwoman funny perfect xample zoe real man,1.0
ok american idiot,1.0
testestrone still,1.0
ben randomly pick drawer full attorney name one two sue pant er dress ms jenning,1.0
wtf everything deem insult lol,1.0
notice ben,0.0
disgusting speciman humanity,1.0
threaten lie hand nothing role reverse would jail,0.0
feel like vomiting think,1.0
hood wish transgender freak would try hurt would take,1.0
channel availablei definitly want whole debate,0.0
angry hold ben shapiros neck one masculine transgender testosterone see shoulder jaw,1.0
watch,0.0
insult someone truth,0.0
adolf threaten reporter lawyer do not agree himnot see whole lot difference especially consider ben shapiro jewish,1.0
full threat nobody say anything threat toward man disgust disrespectful,0.0
real acting,0.0
country go shit,1.0
ahah cut go home ambulance take massive fucking man hand report threaten live braindead monstrosity,1.0
need example strong weak male role model look altercation two,0.0
hey zoey real name joey delusional qualify part joe bidens white house team,1.0
damcavedwellers_xf__xf_apttmh,1.0
bear bring childhood life candace owens say incident make gay cure encouragedaccept gay even straight boy know straight age etc life journey incident like girl friend become straight gay boy know gay age etc life journey incident like boy friend become gay incident part bi incident example straight get attract girl getting molest male even gotten molest like want pursue gay get attract girl get molest male like thenbefore get attract male simply start getting attract male will molestation call current bear gay incident happen even straight people chance incident happen gay people bear gay simply fall attract boy will molestation daddy issue also incident say know gay instead say bear gay end want america give freedom want see gay choice freedom reflect come closet express oneself proudly express community lgbtq rainbow flags home street still people can not come closet live inside peacefully ben shapiro mainly identify gay polygamous can not bear child can not sustain long relationship straight people well polygamous can not impregnate get divorce can not sustain long relationship bring society life partner entire life way life even monogamous atrocious get divorcedwidowe instead live single good second partner gay like fuck around like straight fuckboy gay people monogamous adoptsurrogate child sustain long relationship well gay boy whether incident like none business,0.0
fact care feeling,0.0
remember grade school boy want wear dress,1.0
shame draw call threat violence immediately,0.0
vile creature put hand ben neck without permission make vague ominous threat could ve sue assault threat,1.0
ben shapiro talk fact bruce threathening violence lose respect bruce trans community,0.0
ben sane person debateidiot vs sane person,1.0
could put hand,1.0
manly lady be not ladylike,1.0
rude factual freak,1.0
enough sugar go around tread,0.0
man play dress call zoeloli wish ben clock one,1.0
transvestite dress yesterday go hospital go use gentlemens restroom young man came say excuse madam mens restroom cm tall slim sort build long hair do manbun late sixty moustache unshaven turn around say thank good laugh go life way home dam good laugh need think haircut,1.0
black guy spine,1.0
ben shapiro ball confront fake identifythe rest sleep bother tolerate lie,0.0
shame drewwhat horrible person,1.0
ben soo many idiot bigot place would kick assess know much plus want talk biology,1.0
bob tur abusive husband father pronoun moot,1.0
world go mad even comment show agree ben do not get wrong come across like hate he s speak fact,0.0
ball zoey threaten another man live tv wow,1.0
hot _ xd__xf _,0.0
brave threaten another man wear dress lol,1.0
well manly,1.0
excuse threat violence absurd,0.0
call straight man homophobic willingly date transgender woman support lgbtq community date transgender woman bless,0.0
bloke dress call threat would take second,1.0
usually ben bright,0.0
ben shapiro definition brave offending man many time big benefit spread truth,0.0
lol ben hero,0.0
beta,0.0
respond like man go figure,1.0
bloke frock,1.0
guy wear kippah symbolize submission imaginary sky wizard think wrong mainstream delusion fact do not care feeling lol,1.0
panel polite fact,0.0
ladylike man like,1.0
imagine ben say bruce he d throw load shit,1.0
black guy jump building tell,1.0
benny get give surprise like hope next time actually take ambulance little shit talk thing understand pass agenda literally destroy country like argentina,1.0
zoe hand like fucking shovel way,1.0
agree ben fact,0.0
truly ben man,0.0
want call god second come messiah,1.0
do not want go genetic debate huh sicken wish defend ben psychos,1.0
genetic sir_xd _,1.0
lady sure revert back former self rather quickly,1.0
man seriously touch threaten ben violence well transgender whatever want without jail time guess,1.0
moment actually think michael bolton,0.0
arrest assault,1.0
sit next guy,0.0
trust black guy period woman grab nect like,1.0
lol year ago bet think different,0.0
yet say thing transphobic always want way,0.0
zoey_xd _ abomination,1.0
show true identity angry feel threaten,1.0
black dude tryna get brownie point hilarious,1.0
fop equate rude truthtelle assault battery cnn back baby,1.0
lol polite pronoun,0.0
word apparently hurt threat physical violence get love lefty,0.0
get ben shut nonsense,1.0
someone tell go leave ambulance transgender mainstream ride ben one sure male wil always male,0.0
bro look dude gigachad jawline huge broad shoulder full testostorone threaten someone else physical violence typical male behavior lmao,1.0
wish ben call bluff,0.0
case dr jekyll miss hyde ambulance threat come dr jekyll body mind reverse back,0.0
black guy lol say ever keep popular opinion,0.0
ok insult person biological anatomical fact ok insult person threaten send away ambulance,0.0
man female clothe go far liberar shapiro continue put hand like would see star right way black guy spineless worm,1.0
ever get air time,0.0
good line reason never show part right near beggining ben say,0.0
suppose respect pronoun respect fear,0.0
upset ben call sir,0.0
man fall right ben trap even escalate situation threat violence he s stand guy willing fight believe man,0.0
entire tur family trash,1.0
go military fight country brave thing come closet absolutely sicken,1.0
eat,0.0
well back acting like man see lie get help chris one mess dude,1.0
true color that s love you_xd _ _ x _,0.0
man woman,1.0
grow people talkin man woman st centry mean come onand plan qeep we important war good evilthis guy blonde hair demonic fight back america,1.0
amen ben sound like guest testosterone moment,1.0
could imagine guy get whoop guy girl humiliating act history,1.0
would lose absolutely would go time would stand,1.0
truth shut yes lie say,1.0
zoey dress woman act like typical male bully bravery wear dress fire fighter soldier nurse first responder brave,1.0
lady ready beat ass,1.0
excuse zoey that s like,0.0
sigma base redpille,0.0
w lgtv,0.0
bruce jenner braveit really take ball cut offdamn,1.0
call sir see go,1.0
bad part video know zoey probably scratch ball right interview grab ben neck,1.0
tur could alien mars ben still get punke,1.0
can not fix stupid shapiro right,1.0
female would put arm around male threating end life national tv definitely man,1.0
brave liar cheater whole life,1.0
black guy busy save face ben speak fact,1.0
accept misgendere aggregiously insult tell insulting go everything understand world well cold hard fact attention seek slut maybe whore probably get pay,1.0
stop entertain foolishness,1.0
put chevy sticker ford everyone call chevy want become chevy,0.0
black guy want make sure still visit liberal friend california show,1.0
disagree trans activism must stay polite respectfull little boy ass,1.0
love guy say sorry love disfunctional people instantly turn threat call bs_x _ call serious favoritism like host get b suppose disrespectful word use towards freak heshe sit physically threaten harm people absolutely okay acceptable political debate seem lash irrationally react emotion part right definitely bitch,1.0
woman would grab mans neck tell go home ambulance cuz something saud upset,0.0
zoey woman male male hormone organ bone structure bone density chromosome xy,1.0
bull shit bull shit,1.0
funny,0.0
dang world live live circus joke we,1.0
bloke dress end,1.0
see guy dress woman clothe make sick disgusting,1.0
find full video,0.0
yea really act like woman,1.0
everyone stage afraid train kid doom,0.0
train would date himhermalecrazy,1.0
personally insult person right get threat back talk offended person comment backtrack play victim afterwards,0.0
assault,1.0
good,0.0
love ben shapiro expose tge little bitch zoe tur twice tge man woman shapiro ever,1.0
comment full brainwash cis male misogynist sad,1.0
ben should ve gendere correctly _ xf__xd__xf _ go,1.0
ben side hilarious see face big dud long hair threaten,1.0
zoey do not threaten go home ambulance go hospital ambulance,0.0
zoey unfemine ambulance threat,1.0
ben spot would come talk,0.0
say something like justification threaten person violence show thin skinned bully,1.0
ah yes feel something somehow mean thing reality work,0.0
horrible personhow dare touch everyone know go home ambulance go hospital,1.0
time agree ben neocon shapiro well man choose make joke highly masculine threat,1.0
do not like whole panel act delusional one wereare scared tell like protect job rep,0.0
sinner need repentdeath come we,1.0
attention zoe god make manwhen dieyour bone say man satan tell answer,1.0
god almighty say,0.0
trans need fucking wake call,1.0
fact fact,0.0
ben shapiro afraid disprove coward definition beta he s definitely alpha male,1.0
interview everyone room except ben age like milk,1.0
make ben career,0.0
physical assault political debate catilyn reveal coward,1.0
aggresive,1.0
nonbinary exist,0.0
still male year death bone structure clasifie male,1.0
creep threatened ben shapiro go home ambulance make senseambulance take hospital home,1.0
thus man come,0.0
lmao call drdrew doctor like call king kong,1.0
america really fuck,1.0
zoe real man,0.0
commit remove ball penis truly commit,1.0
moose,1.0
well depict south park season episode,0.0
take opportunity slap bish,1.0
transgender dude twice ben size hreatening beat ambulance brave,0.0
transgender dude twice ben size,0.0
transgender dude twice ben size threaten beat ambulance brave,0.0
difference intelligence brute bully disguise woman,1.0
zoey turd,1.0
rightwe thumbsucker snowflake would ve kill see ben get ass kick,1.0
look aggressive male female,1.0
delusion dead,1.0
brave thing lol yeah cut cannoli ball be not brave fucking crazy lol,1.0
mate bloody debate get already bloody loon ben shapiro bloody love funny ooh icky weenie lady,1.0
great news ex navy seal detransitione renounce transgenderism cult sweet victory,1.0
hahhahaha ben soft amazing,0.0
slay fr,0.0
man period,0.0
tell think woman would dare talk man way,0.0
man zoey tur scumbag,1.0
guy bully like,1.0
be not pedophilia sexual orientation like hetero homo animal intercourse pronoun ikikswaikswak pronounce properly else ill offend oh way pronoun subject change without prior notice go figure,1.0
thank ben say let fact submit candid world,0.0
charming one call yes call guess penis man,1.0
moron,1.0
ben stand ground,0.0
mouse get elephant pregnant mouse identify elephant happen common sense,1.0
mascular guy pretend womanthreaten shapiro go home ambulance remember episode southpark strong woman competition,0.0
thing middle disgusting creature threaten someone like man would say do not call sir weirdo,1.0
zoey fucking legend,1.0
imagine everyone straight say gay person come contact _ xd _ cut go home ambulance_xd _,1.0
threaten bodily harm would press charge lady like lady male testosterone talk,1.0
fun fact ambulance take homeit take hospital zoey bob idiot,1.0
tran brave thing do_xd _ absolutely true fighting war work oil rig go space coward,1.0
battery charging would scandalous,0.0
want wish everyone read great day thought would nice tiny bit positivity,0.0
lose come thuggery,0.0
wish ben would say ambulence take home take hospital,0.0
call pocket live tv beat ass frankly ben get light,1.0
person threaten violence ben shapiro say something do not like people around person defend person action ridiculous bullying,1.0
board girl south park season episode,0.0
ben twerp incapable satisfy woman let alone wife,1.0
let another man grab neck like,0.0
rude ben say biological woman_xd _ tell go home ambulance lol crazy,0.0
womenlike,1.0
wonder zoe turd,0.0
gang ben he s right delusional sad people go along feed delusion,0.0
polite pronoun ridiculous statement history television,1.0
that s sir maam,0.0
really hope lady man lady,1.0
ben shapiro may bit bellend sometimes may bit cocky he s pretty funny watch sometimes ngl be not always wrong,1.0
black dude big woman room,1.0
sane person table bs haha,0.0
hahaha cut send hospital hahaha,0.0
gay staaay veeerrrryyy wiiiiiiiiide spectrum gayness standing insist penise peopel woman fraud,1.0
ninja seating leave brainwash,1.0
wtf kind dude pretend woman enough pervert nonsense,1.0
know say would egregiously insultingjust like hamas know israel would retaliate carry october attack,1.0
queen shit,1.0
woman still get testosterone,1.0
genetics mrs doubtfire,0.0
god would pay good money see zoey fight shepiro,1.0
guy dress like woman get upset,0.0
gender irrelevant biology sex gender social address people socially,0.0
gender irrelevant biology sex gender social address people socially,0.0
disgusting devil absolutely disgusting,1.0
fair you re rude go home ambulance wtf watch,1.0
transgender brave thing lol wonder policeman fireman lifeguard ect think comment,0.0
shapiro smarty shit,1.0
ben shapiro right one,0.0
agree ben basic th grade science chromosome boy girl date preschool,1.0
man problem,0.0
need ben shapiro get shit kick cage match w lady talk shit get hit bitchboy,1.0
caitlyn deserve award brave anybody disagree ben wimp understand malefemale include caitlyn jenner,1.0
ben one take whole thing seriously,0.0
debate want fucking respectful someone need remind basic manner put place,1.0
everyone woman need man,0.0
prove man ambulance comment,0.0
comment be not repeatedly disrespect someone should not surprise lash defend good zoey,0.0
why d even invite dumb ass sit good conversation ben shapiro childish look sound,1.0
act like average person street could beat shit ben shapiro build like year old,1.0
ben deserve behavior,1.0
godlike,0.0
real,0.0
funny hell,0.0
fuck ben shapiro,1.0
fact care feeling love,0.0
debate simple chromosome say gender thos sport play locker room change bathroom use feel need special treatment privilage head tell gender chromosome say tough get special treatment choice make life neither anybody else,1.0
yeah zoe like fact agressive intimidate testosterone great example,1.0
shapiro surround idiot,1.0
certain kind male dr draw,0.0
she_xd _ keep male aggression either,1.0
say zoe see zoe,0.0
I m sorry fuck mention klinefelter syndrome,1.0
wait zoey married child,0.0
truth hurt power either either light dark,0.0
shapiro still look eye threaten do not budge inch,0.0
nigga get cho fuckin hands denzel washington,1.0
zoey owen wilson become transgend,1.0
chaser love hazel tucker shiri blaire white like pass know _ xf _ drag bully say,1.0
dude black glass square,0.0
zoey demonic,1.0
imagine would chaos,0.0
one say biological male male rude inappro another person say continue like ill go home ambulance people pretend hear nothing,0.0
ben explain basic biology guy,0.0
go home ambulanceyou go hospital,0.0
get man handle,1.0
man call war scard bad siezed become wet leg,1.0
correct wrong sure zoey dude,1.0
damn thing obsession validate disgusting foh penis you re woman,1.0
really can not understand bash ben transgender person overstep line,1.0
man kick show put hand ben,1.0
two gender,0.0
man arrest ben,1.0
manly woman,1.0
perfectly valid response fascism must threaten cost,1.0
lady like zoey naughty male mebrane,1.0
true test trans put rocky horror picture show hand back neck feel threaten first time ever feel bad shapiro,0.0
scary grabed sheman tell true intention behind threat,1.0
man still man frock man voice build real tran people would go surgery look like female low voice,1.0
real lady do not behave like individual know ben right do not ball say anything,1.0
guy trouble,1.0
quit think tran brave,1.0
get short workout get threaten tran,1.0
I m shapiro,0.0
lay I m starving_xd _ chris farley,1.0
conservative treat constantly somehow evil one,0.0
good look transgender movement,0.0
zoe mental issue need help,1.0
